label,text
fake,七天美白，医美级效果，100%有效！用一次就白回来
fake,这款精华可以治疗痤疮和激素脸，三甲医院皮肤科医生推荐
fake,全网最低价，销量第一，专利号ZL202310123456，权威认证
fake,一夜回春，28天逆龄，立竿见影，永久不反弹
fake,食品级原料，纯天然无添加，不含任何化学成分
fake,万人好评，0差评，回购率98%，用了都说好
fake,量子渗透技术直达肌底，干细胞修复，基因级抗衰
fake,抗炎杀菌，替代激光祛斑，医美级居家护理
fake,三天淡纹，五天祛斑，七天换肤，无效退款
fake,本产品已通过CMA认证检测报告，编号CNAS2024088，官方权威认证
fake,用了两次就白了，身边朋友都在用，皮肤科专家都在推荐
fake,顶级配方，最强美白，最好用的精华没有之一
fake,不含任何防腐剂与化学成分，孕妇可用，医用级别安全
fake,三天见效，永久去皱，一劳永逸的抗老神器
fake,销量第一，全网疯抢，100%用户反馈有效
real,含5%烟酰胺与透明质酸钠的保湿精华，质地清爽，适合日常护肤
real,清爽不黏腻的氨基酸洁面，泡沫细腻，洗后不紧绷
real,新版配方增加了神经酰胺，帮助维护皮肤屏障，敏感肌可先做局部测试
real,这款粉底液提供12个色号，建议专柜试色后选择最贴近肤色的色号
real,含积雪草提取物的舒缓面霜，建议早晚洁面后取黄豆大小涂抹
real,持妆约6小时，具体时间因肤质与环境而异，建议搭配定妆产品
real,防晒霜SPF50+ PA++++，户外活动请每2小时补涂一次
real,含视黄醇的夜间精华，初次使用建议隔天一次，逐步建立耐受
real,唇釉质地轻薄，成膜后不易沾杯，卸妆建议使用眼唇卸妆液
real,成分表含甘油、角鲨烷与泛醇，无香精添加，具体肤感因人而异
gray,提亮肤色的烟酰胺精华，很多用户反馈肤色更均匀，效果因人而异
gray,淡纹面霜，坚持使用4周以上可能看到细纹改善
gray,温和配方，多数敏感肌可以使用，少数人可能有刺痛感
gray,这款气垫遮瑕力不错，持妆表现比同价位产品更稳定
gray,含高浓度维C衍生物，开封后建议冷藏并在3个月内用完
